None	RIGHT_OF
NEAR
IN_FRONT_OF
IN_FRONT_OF
FURTHEST
IN_FRONT_OF
NEAR
IN_FRONT_OF
NEAR
BETWEEN

BETWEEN
BETWEEN
BEHIND	NEAR
LEFT_OF

BETWEEN
IN_FRONT_OF
NEAR
BETWEEN

BETWEEN
BETWEEN
NEAR	None
BEHIND
IN_FRONT_OF
BETWEEN
BETWEEN
None
BEHIND
NEAR
IN_FRONT_OF
BETWEEN
BETWEEN
IN_FRONT_OF

BETWEEN
NEAR
BEHIND	LEFT_OF
NEAR

BEHIND
BEHIND
BEHIND
BETWEEN
LEFT_OF

NEAR	BETWEEN
LEFT_OF

BETWEEN

LEFT_OF
RIGHT_OF


BETWEEN
BETWEEN
IN_FRONT_OF
IN_FRONT_OF
BEHIND	RIGHT_OF
NEAR
NEAR
BEHIND
IN_FRONT_OF
IN_FRONT_OF
NEAR
NEAR
NEAR
NEAR
NEAR
BEHIND
FURTHEST	BEHIND
FURTHEST
BEHIND
BETWEEN
RIGHT_OF
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN

BETWEEN
LEFT_OF
LEFT_OF
LEFT_OF


BETWEEN
BETWEEN
IN_FRONT_OF
IN_FRONT_OF
BETWEEN

NEAR	BEHIND
BETWEEN
NEAR
IN_FRONT_OF
NEAR
FURTHEST
NEAR
NEAR	NEAR
NEAR
BETWEEN
NEAR
NEAR
NEAR
BETWEEN
LEFT_OF
IN_FRONT_OF
IN_FRONT_OF
NEAR
BEHIND
IN_FRONT_OF	None
BEHIND
BETWEEN
RIGHT_OF
BEHIND

BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
BETWEEN
LEFT_OF
BEHIND
RIGHT_OF
BETWEEN
None
BEHIND
BEHIND
NEAR

BETWEEN
BETWEEN
LEFT_OF
BETWEEN
NEAR	NEAR
BETWEEN
LEFT_OF
LEFT_OF
BETWEEN
NEAR
IN_FRONT_OF
IN_FRONT_OF
NEAR
IN_FRONT_OF
NEAR
FURTHEST
NEAR

BETWEEN
NEAR
IN_FRONT_OF
NEAR
BETWEEN
NEAR
BETWEEN
BETWEEN
BETWEEN
BETWEEN
RIGHT_OF

BETWEEN
BETWEEN
IN_FRONT_OF

BEHIND


BEHIND
BEHIND
BEHIND
BETWEEN
NEAR
NEAR
IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF	LEFT_OF
IN_FRONT_OF
None	RIGHT_OF
BETWEEN
NEAR	None
BETWEEN
BETWEEN
NEAR
RIGHT_OF
BETWEEN
RIGHT_OF
NEAR
NEAR
NEAR
NEAR
IN_FRONT_OF

NEAR

BEHIND

BEHIND
BETWEEN
BEHIND
BETWEEN

RIGHT_OF

RIGHT_OF	IN_FRONT_OF

IN_FRONT_OF

RIGHT_OF
FURTHEST	RIGHT_OF
NEAR
NEAR
BEHIND
BEHIND
BEHIND
BEHIND
IN_FRONT_OF
IN_FRONT_OF	BETWEEN
BETWEEN
LEFT_OF
LEFT_OF
BETWEEN
BETWEEN
NEAR
BEHIND
BEHIND
NEAR
BEHIND
BEHIND
BEHIND
IN_FRONT_OF
IN_FRONT_OF
IN_FRONT_OF

IN_FRONT_OF
NEAR
LEFT_OF
BETWEEN	NEAR
